|6.6.6
mars1_1.tab                                                                                         
           1
P(bar)  
   234999.00000000000     
   234999.00000000000     
  173529599
           3
P(bar)         T(K)           rho,kg/m3     
  17886.2        1371.38        3479.45     
  17909.7        1371.52        3479.51     
  17933.2        1371.67        3479.56     
  17956.7        1371.81        3479.61     
  17980.2        1371.95        3479.66     
  18003.7        1372.09        3479.71     
  18027.2        1372.23        3479.76     
  18050.7        1372.37        3479.81     
  18074.2        1372.52        3479.87     
  18097.7        1372.66        3479.92     
  18121.2        1372.80        3479.97     
  18144.7        1372.94        3480.02     
  18168.2        1373.08        3480.07     
  18191.7        1373.22        3480.12     
  18215.2        1373.37        3480.18     
  18238.7        1373.51        3480.23     
  18262.2        1373.65        3480.28     
  18285.8        1373.79        3480.33     
  18309.3        1373.93        3480.38     
  18332.8        1374.08        3480.43     
  18356.3        1374.22        3480.48     
  18379.8        1374.36        3480.54     
  18403.3        1374.50        3480.59     
  18426.8        1374.64        3480.64     
  18450.3        1374.79        3480.69     
  18473.8        1374.93        3480.74     
  18497.3        1375.07        3480.79     
  18520.8        1375.21        3480.84     
  18544.3        1375.35        3480.90     
  18567.8        1375.50        3480.95     
  18591.3        1375.64        3481.17     
